      Datetime      ,  Rain (mm)
2026-02-26 13:00 WIB, 0.02
2026-02-26 16:00 WIB, 1.74
2026-02-26 19:00 WIB, 0.16
2026-02-26 22:00 WIB, 0.00
2026-02-27 01:00 WIB, 0.00
2026-02-27 04:00 WIB, 0.00
2026-02-27 07:00 WIB, 0.00
2026-02-27 10:00 WIB, 0.00
2026-02-27 13:00 WIB, 1.04
2026-02-27 16:00 WIB, 3.40
2026-02-27 19:00 WIB, 0.00
2026-02-27 22:00 WIB, 0.00
2026-02-28 01:00 WIB, 0.00
2026-02-28 04:00 WIB, 0.00
2026-02-28 07:00 WIB, 0.00
2026-02-28 10:00 WIB, 0.00
2026-02-28 13:00 WIB, 0.00
2026-02-28 16:00 WIB, 1.90
2026-02-28 19:00 WIB, 0.12
2026-02-28 22:00 WIB, 0.00
2026-03-01 01:00 WIB, 0.00
2026-03-01 04:00 WIB, 0.00
2026-03-01 07:00 WIB, 0.00
2026-03-01 10:00 WIB, 0.00
2026-03-01 13:00 WIB, 0.07
2026-03-01 16:00 WIB, 0.00
2026-03-01 19:00 WIB, 0.00
2026-03-01 22:00 WIB, 0.00
2026-03-02 01:00 WIB, 0.00
2026-03-02 04:00 WIB, 0.00
2026-03-02 07:00 WIB, 0.00
2026-03-02 10:00 WIB, 0.16
2026-03-02 13:00 WIB, 2.18
2026-03-02 16:00 WIB, 0.00
2026-03-02 19:00 WIB, 0.00
2026-03-02 22:00 WIB, 0.00
2026-03-03 01:00 WIB, 0.00
2026-03-03 04:00 WIB, 0.09
2026-03-03 07:00 WIB, 0.00
2026-03-03 10:00 WIB, 2.38
2026-03-03 13:00 WIB, 3.58
