      Datetime      ,  Rain (mm)
2026-03-16 01:00 WIB, 0.00
2026-03-16 04:00 WIB, 0.00
2026-03-16 07:00 WIB, 0.00
2026-03-16 10:00 WIB, 0.00
2026-03-16 13:00 WIB, 0.00
2026-03-16 16:00 WIB, 1.69
2026-03-16 19:00 WIB, 1.13
2026-03-16 22:00 WIB, 0.00
2026-03-17 01:00 WIB, 0.00
2026-03-17 04:00 WIB, 0.00
2026-03-17 07:00 WIB, 0.00
2026-03-17 10:00 WIB, 0.00
2026-03-17 13:00 WIB, 0.00
2026-03-17 16:00 WIB, 0.00
2026-03-17 19:00 WIB, 0.01
2026-03-17 22:00 WIB, 0.07
2026-03-18 01:00 WIB, 0.00
2026-03-18 04:00 WIB, 0.00
2026-03-18 07:00 WIB, 0.00
2026-03-18 10:00 WIB, 0.00
2026-03-18 13:00 WIB, 0.00
2026-03-18 16:00 WIB, 0.00
2026-03-18 19:00 WIB, 0.01
2026-03-18 22:00 WIB, 0.53
2026-03-19 01:00 WIB, 0.00
2026-03-19 04:00 WIB, 0.00
2026-03-19 07:00 WIB, 0.00
2026-03-19 10:00 WIB, 0.00
2026-03-19 13:00 WIB, 0.00
2026-03-19 16:00 WIB, 2.38
2026-03-19 19:00 WIB, 1.97
2026-03-19 22:00 WIB, 0.00
2026-03-20 01:00 WIB, 2.55
2026-03-20 04:00 WIB, 0.21
2026-03-20 07:00 WIB, 0.00
2026-03-20 10:00 WIB, 0.00
2026-03-20 13:00 WIB, 0.00
2026-03-20 16:00 WIB, 1.14
2026-03-20 19:00 WIB, 0.70
2026-03-20 22:00 WIB, 0.00
2026-03-21 01:00 WIB, 0.00
