      Datetime      ,  Rain (mm)
2026-03-13 01:00 WIB, 0.00
2026-03-13 04:00 WIB, 0.00
2026-03-13 07:00 WIB, 0.00
2026-03-13 10:00 WIB, 0.00
2026-03-13 13:00 WIB, 0.00
2026-03-13 16:00 WIB, 0.00
2026-03-13 19:00 WIB, 0.00
2026-03-13 22:00 WIB, 0.00
2026-03-14 01:00 WIB, 0.00
2026-03-14 04:00 WIB, 0.00
2026-03-14 07:00 WIB, 0.00
2026-03-14 10:00 WIB, 0.00
2026-03-14 13:00 WIB, 0.56
2026-03-14 16:00 WIB, 3.34
2026-03-14 19:00 WIB, 1.42
2026-03-14 22:00 WIB, 0.54
2026-03-15 01:00 WIB, 0.00
2026-03-15 04:00 WIB, 0.00
2026-03-15 07:00 WIB, 0.00
2026-03-15 10:00 WIB, 0.00
2026-03-15 13:00 WIB, 3.78
2026-03-15 16:00 WIB, 4.58
2026-03-15 19:00 WIB, 0.39
2026-03-15 22:00 WIB, 0.00
2026-03-16 01:00 WIB, 0.00
2026-03-16 04:00 WIB, 0.00
2026-03-16 07:00 WIB, 0.00
2026-03-16 10:00 WIB, 0.00
2026-03-16 13:00 WIB, 2.06
2026-03-16 16:00 WIB, 4.74
2026-03-16 19:00 WIB, 0.95
2026-03-16 22:00 WIB, 0.03
2026-03-17 01:00 WIB, 0.00
2026-03-17 04:00 WIB, 0.00
2026-03-17 07:00 WIB, 0.00
2026-03-17 10:00 WIB, 0.00
2026-03-17 13:00 WIB, 0.00
2026-03-17 16:00 WIB, 4.92
2026-03-17 19:00 WIB, 1.31
2026-03-17 22:00 WIB, 0.02
2026-03-18 01:00 WIB, 0.00
